index,title,original_title,budget,genre,language,spoken_languages,homepage,popularity,runtime,revenue,release_date,vote_average,vote_count,production_countries,production_companies,web_url,snippet,source,keywords,pub_date,word_count,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.organization
0,The Attachment Diaries,El apego,0,Drama Mystery Thriller Horror,es,Spanish,,1.287,102,0,2021-10-07,3.0,4,Argentina,,https://www.nytimes.com/2023/05/25/movies/the-attachment-diaries-review.html,"A gynecologist and her patient form a horrifyingly twisted connection in this batty, bloody Argentine melodrama.",The New York Times,name: subject value: Movies rank: 1 major: N name: creative_works value: The Attachment Diaries (Movie) rank: 2 major: N name: persons value: Diment Valentin Javier rank: 3 major: N,2023-05-25T11:00:03+0000,295,"‘The Attachment Diaries’ Review: Love, Sick",,,The Attachment Diaries,,,,By Jeannette Catsoulis,
1,You Can Live Forever,You Can Live Forever,0,Drama Romance,en,English French,https://gooddeedentertainment.com/you-can-live-forever/,28.402,96,15055,2023-03-24,6.6,37,Canada United States of America,id: 63971 logo_path: /9U4LhiybfyhDPpzim20IIvBnC5l.png name: Prospector Films origin_country: CA id: 49937 logo_path: /j14jwTsJj6ok9IkUFewX7acufKu.png name: Good Deed Entertainment origin_country: US,https://www.nytimes.com/2023/05/04/movies/you-can-live-forever-review.html,Religion comes between two girls falling in love in the 1990s in this sweet coming-of-age film bathed in grunge hues.,The New York Times,name: subject value: Movies rank: 1 major: N name: creative_works value: You Can Live Forever (Movie) rank: 2 major: N name: persons value: Slutsky Mark rank: 3 major: N name: persons value: Watts Sarah (Film Director) rank: 4 major: N name: persons value: ODriscoll Anwen rank: 5 major: N name: persons value: Laporte June (Actor) rank: 6 major: N,2023-05-04T11:00:08+0000,294,‘You Can Live Forever’ Review: Do You Love Me Now?,,,You Can Live Forever,,,,By Elisabeth Vincentelli,
2,One True Loves,One True Loves,0,Romance Comedy Drama,en,English Spanish,,10.023,100,37820,2023-04-07,6.5,75,Czech Republic United States of America,id: 168294 logo_path: /hO9hMQIAUvSEVJHBUdtrsXWfoRu.png name: Volition Media Partners origin_country: US id: 147011 logo_path: None name: Gosdom Entertainment origin_country: US id: 2623 logo_path: /7Bkm1yUF0y8x6jw8dHRfzS3B6dq.png name: Blue Rider Pictures origin_country: US id: 179981 logo_path: /vbI6QgAC9s3BilQ5Oa7juyrf59N.png name: Thomasville Pictures origin_country: US id: 170420 logo_path: /83zMnR0m7rNOF4C1nXEPv8LCSkL.png name: SquareOne Productions origin_country: DE id: 5698 logo_path: /meGyUgXybl2X0uJlnvaAWSwVZvt.png name: Oops Doughnuts Productions origin_country: US id: 193458 logo_path: None name: Storybook Entertainment origin_country: US id: 80626 logo_path: /zdRndNKHm4pULpG5Lg7m0NaRBdh.png name: El Ride Productions origin_country: US id: 193459 logo_path: None name: I Think Productions origin_country:  id: 117761 logo_path: /4Aa24Ase2LR6wesRolVQ0vinI8T.png name: Streamline Global origin_country: US id: 76991 logo_path: /pQjdvbv4y9yuIDSHDEHc9ijJKaS.png name: Highland Film Group origin_country: US id: 194918 logo_path: /pzsC9ZzbRjHaBES0GH8n2dgtCZk.png name: R.U. Robot Studios origin_country: CZ id: 125401 logo_path: /zqK2m6vgqAOVyKCGWHkEpqf3GeE.png name: BuzzFeed Studios origin_country: US id: 185127 logo_path: /lD5UjvX5MsbIwbZJvdC5aee1nwm.png name: The Avenue Entertainment origin_country: US id: 220809 logo_path: None name: Yogurt Time Pictures origin_country: ,https://www.nytimes.com/2023/04/13/movies/one-true-loves-movie-review.html,"A film adaptation of Taylor Jenkins Reid’s novel has potential for drama, but it stumbles on stock melodrama.",The New York Times,name: subject value: Movies rank: 1 major: N name: persons value: Bracey Luke (1989- ) rank: 2 major: N name: persons value: Liu Simu rank: 3 major: N name: persons value: Reid Taylor Jenkins rank: 4 major: N name: persons value: Soo Phillipa rank: 5 major: N name: persons value: Fickman Andy rank: 6 major: N name: creative_works value: One True Loves (Movie) rank: 7 major: N,2023-04-13T11:00:06+0000,320,‘One True Loves’ Review: A Romance Lost at Sea,,,One True Loves,,,,By Brandon Yu,
3,The Lost Weekend: A Love Story,The Lost Weekend: A Love Story,0,Documentary,en,English,https://thelostweekendmovie.com/,4.287,95,77145,2023-04-13,6.0,2,United States of America,,https://www.nytimes.com/2023/04/13/movies/the-lost-weekend-a-love-story-review.html,"There’s not much Lennon music heard in this doc about his affair with May Pang, and given how much Pang trashes his wife, Yoko Ono, it’s no surprise it was withheld.",The New York Times,name: subject value: Documentary Films and Programs rank: 1 major: N name: creative_works value: The Lost Weekend: A Love Story (Movie) rank: 2 major: N name: persons value: Pang May rank: 3 major: N name: persons value: Lennon John rank: 4 major: N name: persons value: Ono Yoko rank: 5 major: N name: persons value: Brandstein Eve rank: 6 major: N name: persons value: Kaufman Richard S (Filmmaker) rank: 7 major: N name: persons value: Samuels Stuart (Filmmaker) rank: 8 major: N name: subject value: Content Type: Personal Profile rank: 9 major: N name: subject value: Pop and Rock Music rank: 10 major: N,2023-04-13T11:00:03+0000,327,‘The Lost Weekend: A Love Story’ Review: When John Lennon Strayed,,,The Lost Weekend:  A Love Story,,,,By Glenn Kenny,
4,A Thousand and One,A Thousand and One,0,Drama Crime,en,English Spanish Portuguese,https://www.focusfeatures.com/a-thousand-and-one/,15.331,116,3395595,2023-03-31,6.871,89,United States of America,id: 99963 logo_path: /wi5JP4jpVBeb9qK97nhICkMurNZ.png name: Sight Unseen Pictures origin_country: US id: 106839 logo_path: /uUIoRabgmUH5VYSXs02bgjO92no.png name: Makeready origin_country: US id: 101758 logo_path: /l5i9Dny0bZhb5RibclPAogdlJ1.png name: Hillman Grad Productions origin_country: US,https://www.nytimes.com/2023/03/30/movies/a-thousand-and-one-review.html,"A mesmerizing Teyana Taylor stars in A.V. Rockwell’s feature directing debut, about motherhood and survival in a fast-changing city.",The New York Times,name: subject value: Movies rank: 1 major: N name: creative_works value: A Thousand and One (Movie) rank: 2 major: N name: persons value: Rockwell AV (Film Director) rank: 3 major: N name: persons value: Taylor Teyana (1990- ) rank: 4 major: N,2023-03-30T18:53:42+0000,971,‘A Thousand and One’ Review: A New York Love Story,Critic’s Pick,,An Unbending Will Meets a Shifting City,,,,By Manohla Dargis,
5,Your Place or Mine,Your Place or Mine,0,Romance Comedy,en,English,https://www.netflix.com/title/81045831,19.936,109,0,2023-02-10,6.28,710,United States of America,id: 105382 logo_path: /b94sYzp4YUqi3DqIUnWnfrmxlN.png name: Hello Sunshine origin_country: US id: 37361 logo_path: /xpbUNXnrMeEK1ynbqVnHp8ZOVKW.png name: Aggregate Films origin_country: US id: 133810 logo_path: None name: Lean Machine origin_country: ,https://www.nytimes.com/2023/02/09/movies/your-place-or-mine-review.html,This humdrum Netflix romantic comedy features Reese Witherspoon and Ashton Kutcher as longtime friends with possibly hidden feelings for each other.,The New York Times,name: subject value: Movies rank: 1 major: N name: creative_works value: Your Place or Mine (Movie) rank: 2 major: N name: persons value: Witherspoon Reese rank: 3 major: N name: persons value: Kutcher Ashton rank: 4 major: N name: persons value: McKenna Aline Brosh rank: 5 major: N,2023-02-10T00:00:05+0000,569,‘Your Place or Mine’ Review: Try Neither,,,They Have a Humdrum Kind of Love,,,,By Amy Nicholson,
6,Love in the Time of Fentanyl,Love in the Time of Fentanyl,0,Documentary,en,English,,0.64,85,0,2023-02-03,0.0,0,Canada United States of America,id: 10943 logo_path: /9jd9RFYraPpPCz7rpqp5KhrwfAH.png name: ITVS origin_country: US id: 84895 logo_path: None name: Lost Time Media origin_country: ,https://www.nytimes.com/2023/02/02/movies/love-in-the-time-of-fentanyl-review.html,"To combat the overdose crisis, a group that includes former and current users open a safe consumption site where shooting up does not have to mean death.",The New York Times,name: subject value: Documentary Films and Programs rank: 1 major: N name: subject value: Fentanyl rank: 2 major: N name: subject value: Drug Abuse and Traffic rank: 3 major: N name: subject value: Volunteers and Community Service rank: 4 major: N name: creative_works value: Love in the Time of Fentanyl (Movie) rank: 5 major: N name: persons value: Askey Colin rank: 6 major: N name: glocations value: Vancouver (British Columbia) rank: 7 major: N name: organizations value: Overdose Prevention Society rank: 8 major: N,2023-02-02T12:00:11+0000,306,"‘Love in the Time of Fentanyl’ Review: Heartbreak, Death and Hope in Vancouver",,,Love in the Time Of Fentanyl,,,,By Concepción de León,
7,After Love,After Love,0,Drama,en,English Arabic French Urdu,,7.059,89,0,2021-06-04,7.152,122,United Kingdom,id: 10441 logo_path: /aTEwjHN8l51ix2YcTxxzR92WaXy.png name: The Bureau origin_country: GB id: 288 logo_path: /aW0IpM9d4Zjj978EqgDVSxXXhTj.png name: BBC Film origin_country: GB id: 7281 logo_path: /lkqIuaKTm2sg3umwTBScmqyzLX5.png name: BFI origin_country: GB,https://www.nytimes.com/2023/01/19/movies/after-love-review.html,"In this intelligent melodrama by the director Aleem Khan, a British woman discovers her husband has been leading a double life.",The New York Times,name: subject value: Movies rank: 1 major: N name: creative_works value: After Love (2020) (Movie) rank: 2 major: N name: persons value: Khan Aleem rank: 3 major: N name: persons value: Scanlan Joanna (1961- ) rank: 4 major: N,2023-01-19T12:00:06+0000,359,‘After Love’ Review: The Other Woman,Critic’s Pick,,After Love,,,,By Beatrice Loayza,
8,Alcarràs,Alcarràs,3,Drama,ca,Catalan,https://www.alcarras-film.com/,10.042,120,2,2022-04-29,6.9,181,Spain,id: 26174 logo_path: /zXj7grtt7yW8pcaSZM0Wfefy634.png name: Avalon origin_country: ES id: 118930 logo_path: /lRBrUE7HoGl1BzPLmLIbnBIYbi3.png name: Vilaüt Films origin_country: ES id: 94506 logo_path: /pSTfyFTD439qICCIoycPg3LvVAU.png name: Kino Produzioni origin_country: IT,https://www.nytimes.com/2023/01/05/movies/alcarras-review.html,"In this naturalistic drama from Spain, a family confronts the impending loss of its generations-old farm.",The New York Times,name: subject value: Movies rank: 1 major: N name: persons value: Simon Carla rank: 2 major: N name: creative_works value: Alcarras (Movie) rank: 3 major: N,2023-01-05T12:00:03+0000,306,‘Alcarràs’ Review: Labor of Love,,,Alcarràs,,,,By Devika Girish,
9,The Sound of Christmas,The Sound of Christmas,0,TV Movie Drama,en,English,,1.613,0,0,2022-11-24,8.0,4,United States of America,id: 120832 logo_path: None name: Megamind Media origin_country: ,https://www.nytimes.com/2022/11/23/movies/sound-of-christmas-review.html,A young singer gets more than she bargained for when she accepts a job as a nanny for a billionaire’s children.,The New York Times,name: subject value: Movies rank: 1 major: N name: persons value: Ne-Yo rank: 2 major: N name: creative_works value: The Sound of Christmas (Movie) rank: 3 major: N name: persons value: Mattison Booker T rank: 4 major: N name: persons value: McNeill Serayah rank: 5 major: N,2022-11-23T15:00:09+0000,277,‘The Sound of Christmas’ Review: A Gospel Singer Finds Love,,,The Sound  Of Christmas,,,,By Concepción de León,
